,transcription,sentence,translation,transcription_clean,sentence_clean,translation_clean
924, A mina de cobalto foi abandonada há décadas.,A mina de cobalto foi abandonada há décadas.,The cobalt mine was abandoned decades ago., a mina de cobalto foi abandonada há décadas ,a mina de cobalto foi abandonada há décadas ,the cobalt mine was abandoned decades ago 
925, Ela é de belos outros.,Ela é de Belo Horizonte.,She’s from Belo Horizonte., ela é de belos outros ,ela é de belo horizonte ,she s from belo horizonte 
926, Ou ver o impulso.,Bombeiro e Polícia,Fireman and Policeman, ou ver o impulso ,bombeiro e polícia,fireman and policeman
927, Deixe-me sair daqui.,Deixa-me sair daqui!,Let me out of here!, deixe me sair daqui ,deixa me sair daqui ,let me out of here 
928, Uma vez por todas.,Uma vez por todas,Once and for all, uma vez por todas ,uma vez por todas,once and for all
929," Por favor, procure a pintura do mundo da música.","Por favor, procure a pintura do Mundo da Música.","Please, look for the painting of the World of Music.", por favor procure a pintura do mundo da música ,por favor procure a pintura do mundo da música ,please look for the painting of the world of music 
930," Grita, Cuidei Todo Mundo!",O grito acordou todo mundo.,The scream woke up everybody., grita cuidei todo mundo ,o grito acordou todo mundo ,the scream woke up everybody 
931, Eu realmente não gosto de código de vestimenta.,Eu realmente não gosto de códigos de vestimenta.,I really don’t like dress codes., eu realmente não gosto de código de vestimenta ,eu realmente não gosto de códigos de vestimenta ,i really don t like dress codes 
932, Ele é discurso a do xô.,Ele beliscou sua bochecha.,He pinched his cheek., ele é discurso a do xô ,ele beliscou sua bochecha ,he pinched his cheek 
933, A constituição de seu apartamento não é ideal.,A constituição de seu apartamento não era ideal.,The apartment’s arrangement was not ideal., a constituição de seu apartamento não é ideal ,a constituição de seu apartamento não era ideal ,the apartment s arrangement was not ideal 
934, Mesmo quando tudo que você quer fazer é viajar?,Mesmo quando tudo que você quer fazer é viajar?,Even when all you want to do is to travel?, mesmo quando tudo que você quer fazer é viajar ,mesmo quando tudo que você quer fazer é viajar ,even when all you want to do is to travel 
935, Como a atitude dos pais afeta a identidade de seus filhos?,Como a atitude dos pais afeta a identidade de seus filhos?,How does the parents attitude affects the identity of their children?, como a atitude dos pais afeta a identidade de seus filhos ,como a atitude dos pais afeta a identidade de seus filhos ,how does the parents attitude affects the identity of their children 
936, Venha e junte-se à nossa festa!,Venha e junte-se a nossa festa.,Come and join our party., venha e junte se à nossa festa ,venha e junte se a nossa festa ,come and join our party 
937, Um rapaz debaixo de água com alguém a ajudá-lo a nadar.,um rapaz debaixo de água com alguém a ajudá-lo a nadar,A boy underwater with someone helping him to swim., um rapaz debaixo de água com alguém a ajudá lo a nadar ,um rapaz debaixo de água com alguém a ajudá lo a nadar,a boy underwater with someone helping him to swim 
938, apenas alguns minutos restantes.,Apenas alguns minutos restantes,Just a few minutes left, apenas alguns minutos restantes ,apenas alguns minutos restantes,just a few minutes left
939, Vá até o tesouro mais próximo e espere o carro.,Vá até o tesouro mais próximo e espere o carro.,Go to the nearest treasure and wait for the car., vá até o tesouro mais próximo e espere o carro ,vá até o tesouro mais próximo e espere o carro ,go to the nearest treasure and wait for the car 
940, Primeiro descanso no centro de visitantes.,Primeiro descanso no centro de visitantes,First landing at the visitor center, primeiro descanso no centro de visitantes ,primeiro descanso no centro de visitantes,first landing at the visitor center
941, Uma mulher asiática idosa que reza com ofertas à disposição.,Uma mulher asiática idosa que reza com ofertas à disposição.,A praying elderly Asian woman with offerings on hand., uma mulher asiática idosa que reza com ofertas à disposição ,uma mulher asiática idosa que reza com ofertas à disposição ,a praying elderly asian woman with offerings on hand 
942," Com isso, vamos registrar que falamos de cristãos antigos.","Com isso, vamos registrar que falamos de cristãos antigos.","With that, let's note that we speak of ancient Christians.", com isso vamos registrar que falamos de cristãos antigos ,com isso vamos registrar que falamos de cristãos antigos ,with that let s note that we speak of ancient christians 
943, É lógico.,É lógico.,It’s logical., é lógico ,é lógico ,it s logical 
944, Um homem está vestido em denim e está sorrindo off camera.,Um homem está vestido em denim e está sorrindo offcamera.,A man is wearing denim and is smiling off-camera., um homem está vestido em denim e está sorrindo off camera ,um homem está vestido em denim e está sorrindo offcamera ,a man is wearing denim and is smiling off camera 
945, Estamos planejando visitar o Grand Canyon.,Estamos planejando visitar o Grand Canyon.,We are planning to visit the Grand Canyon., estamos planejando visitar o grand canyon ,estamos planejando visitar o grand canyon ,we are planning to visit the grand canyon 
946, Você não pode ver o planeta a olho nu.,Você não pode ver o planeta a olho nu.,You can’t see the planet with the naked eye., você não pode ver o planeta a olho nu ,você não pode ver o planeta a olho nu ,you can t see the planet with the naked eye 
947, Ninguém está tentando roubar de você.,Ninguém está tentando roubar de você.,No one is trying to steal from you., ninguém está tentando roubar de você ,ninguém está tentando roubar de você ,no one is trying to steal from you 
948, Três pessoas caminham pela neve usando raquetes de neve e usando bengalas.,Três pessoas caminham pela neve usando raquetes de neve e usando bengalas.,Three people walk in the snow wearing snowshoes and using canes., três pessoas caminham pela neve usando raquetes de neve e usando bengalas ,três pessoas caminham pela neve usando raquetes de neve e usando bengalas ,three people walk in the snow wearing snowshoes and using canes 
949, Dois jovens praticam Kickboxing.,Dois jovens praticam Kickboxing.,Two young men practice Kickboxing., dois jovens praticam kickboxing ,dois jovens praticam kickboxing ,two young men practice kickboxing 
950," Por favor, me dê histórias do show de baladas inglesas e escocesas.","Por favor, me dê histórias do show de baladas inglesas e escocesas.",Please share stories from the English and Scottish ballad show., por favor me dê histórias do show de baladas inglesas e escocesas ,por favor me dê histórias do show de baladas inglesas e escocesas ,please share stories from the english and scottish ballad show 
951, Três meninas estão posando em roupas elegantes perto de uma árvore e um edifício.,Três meninas estão posando em roupas elegantes perto de uma árvore e um edifício,Three girls are posing with fancy clothes near a tree and a building, três meninas estão posando em roupas elegantes perto de uma árvore e um edifício ,três meninas estão posando em roupas elegantes perto de uma árvore e um edifício,three girls are posing with fancy clothes near a tree and a building
952, A menina em um vestido de flor está falando com as senhoras narula,A menina em um vestido de flor está falando com as senhoras na rua,The girl in a flower dress is talking to the ladies in the street, a menina em um vestido de flor está falando com as senhoras narula,a menina em um vestido de flor está falando com as senhoras na rua,the girl in a flower dress is talking to the ladies in the street
953, Uma pessoa esquia em uma colina coberta de neve,Uma pessoa esquia em uma colina coberta de neve.,A person skis on a hill covered in snow., uma pessoa esquia em uma colina coberta de neve,uma pessoa esquia em uma colina coberta de neve ,a person skis on a hill covered in snow 
954, Um menino carregando dois vegetais verdes.,Um menino carregando dois vegetais verdes.,A boy carrying two green vegetables., um menino carregando dois vegetais verdes ,um menino carregando dois vegetais verdes ,a boy carrying two green vegetables 
955, Uma coisa boa é logo arrebatada.,Uma coisa boa é logo arrebatada.,"Easy come, easy go.", uma coisa boa é logo arrebatada ,uma coisa boa é logo arrebatada ,easy come easy go 
956, Um homem sentado e olhando para o telefone.,um homem sentado e olhando para o telefone.,A man sitting and staring at the phone., um homem sentado e olhando para o telefone ,um homem sentado e olhando para o telefone ,a man sitting and staring at the phone 
957, Um homem em camuflagem está ensinando uma aula.,Um homem em camuflagem está ensinando uma aula.,A man in camouflage is teaching a class., um homem em camuflagem está ensinando uma aula ,um homem em camuflagem está ensinando uma aula ,a man in camouflage is teaching a class 
958, Eu me senti como Bruce Wayne construindo o sabate caverna.,Eu me senti como Bruce Wayne construindo sua Batcaverna!,I felt like Bruce Wayne building his Batcave!, eu me senti como bruce wayne construindo o sabate caverna ,eu me senti como bruce wayne construindo sua batcaverna ,i felt like bruce wayne building his batcave 
