,hypothesis,reference,translation,hypothesis_clean,reference_clean,translation_clean
864, A memória é o tesouro da mente.,A memória é o tesouro da mente.,Memory is the treasure of the mind., a memória é o tesouro da mente ,a memória é o tesouro da mente ,memory is the treasure of the mind 
865, Acumular conexões empresariais e tecnologia.,Acumular conexões empresariais e tecnologia,Build business and technology contacts., acumular conexões empresariais e tecnologia ,acumular conexões empresariais e tecnologia,build business and technology contacts 
866, O menino começou a cavar na dunha.,O menino começou a cavar na duna.,The boy started to dig in the dune., o menino começou a cavar na dunha ,o menino começou a cavar na duna ,the boy started to dig in the dune 
867, Qual é o benefício do método em termos de precisão de identificação?,Qual é o benefício do método em termos de precisão de identificação?,What is the benefit of the method in terms of identification precision?, qual é o benefício do método em termos de precisão de identificação ,qual é o benefício do método em termos de precisão de identificação ,what is the benefit of the method in terms of identification precision 
868, Igreja e Estado são separados por um motivo.,Igreja e Estado são separados por um motivo.,Church and State are separated for a reason., igreja e estado são separados por um motivo ,igreja e estado são separados por um motivo ,church and state are separated for a reason 
869, Onde eu estou agora?,Onde eu estou agora?,Where I’m I now?, onde eu estou agora ,onde eu estou agora ,where i m i now 
870, Dois meninos puxando uma carroça.,Dois meninos puxando uma carroça.,Two boys pulling a cart., dois meninos puxando uma carroça ,dois meninos puxando uma carroça ,two boys pulling a cart 
871, O ouro não sangra.,O ouro não sangra.,Gold doesn’t bleed., o ouro não sangra ,o ouro não sangra ,gold doesn t bleed 
872," E para fazer isso, você precisa de dinheiro.",E para fazer isso? você precisa de dinheiro.,"And to do that, you need money.", e para fazer isso você precisa de dinheiro ,e para fazer isso você precisa de dinheiro ,and to do that you need money 
873, Então veio uma guerra.,Então veio uma guerra.,"Then, a war came.", então veio uma guerra ,então veio uma guerra ,then a war came 
874, Você gostaria de um selo?,Você gostaria de um selo?,Would you like a seal?, você gostaria de um selo ,você gostaria de um selo ,would you like a seal 
875, E quanto ao problema alimentar?,E quanto ao problema alimentar?,And about the food problem?, e quanto ao problema alimentar ,e quanto ao problema alimentar ,and about the food problem 
876, Muito provavelmente você já viu a mesma coisa.,Muito provavelmente você já viu a mesma coisa.,Most likely you’ve already seen the same thing., muito provavelmente você já viu a mesma coisa ,muito provavelmente você já viu a mesma coisa ,most likely you ve already seen the same thing 
877, 5 mulheres envolvidas em um jogo de futebol,Cinco mulheres envolvidas em um jogo de futebol.,Five women engaged in a soccer game., 5 mulheres envolvidas em um jogo de futebol,cinco mulheres envolvidas em um jogo de futebol ,five women engaged in a soccer game 
878, Dois jovens sentados em uma mesa e sorrindo.,Dois jovens sentados em uma mesa e sorrindo.,Two young men sitting in a table and laughing., dois jovens sentados em uma mesa e sorrindo ,dois jovens sentados em uma mesa e sorrindo ,two young men sitting in a table and laughing 
879, Um homem e uma mulher sentada em uma mesa.,Um homem e uma mulher sentada em uma mesa.,A man and a woman sitting in a table., um homem e uma mulher sentada em uma mesa ,um homem e uma mulher sentada em uma mesa ,a man and a woman sitting in a table 
880, Uma criança usa um jumper vermelho enquanto segura 3 brinquedos da Pixar.,Uma criança usa um jumper vermelho enquanto segura três brinquedos da Pixar.,A child using a red jumper while holding three Pixar toys., uma criança usa um jumper vermelho enquanto segura 3 brinquedos da pixar ,uma criança usa um jumper vermelho enquanto segura três brinquedos da pixar ,a child using a red jumper while holding three pixar toys 
881," Garotas em trajes de banho, de mãos dadas e pulando na água.",Garotas em trajes de banho? de mãos dadas e pulando na água.,Girls in swimsuits holding hands and jumping in the water., garotas em trajes de banho de mãos dadas e pulando na água ,garotas em trajes de banho de mãos dadas e pulando na água ,girls in swimsuits holding hands and jumping in the water 
882, Uma mulher está sendo perseguida por uma criança na praia enquanto um homem olha.,"Uma mulher está sendo perseguida por uma criança na praia, enquanto um homem olha.","A woman is being chased by a kid on the beach, while a man looks.", uma mulher está sendo perseguida por uma criança na praia enquanto um homem olha ,uma mulher está sendo perseguida por uma criança na praia enquanto um homem olha ,a woman is being chased by a kid on the beach while a man looks 
883, Uma mulher batendo algo com uma rocha com uma cobaia no fundo.,Uma mulher batendo algo com uma rocha? com uma cobaia no fundo.,"A woman hitting something with a rock, with a guinea pig in the background.", uma mulher batendo algo com uma rocha com uma cobaia no fundo ,uma mulher batendo algo com uma rocha com uma cobaia no fundo ,a woman hitting something with a rock with a guinea pig in the background 
884," Existe um grupo identificado de especialistas que aqui apresentam, que acreditam e transmitem?","Existe um grupo identificável de especialistas que a representam, que acreditam e transmitem?","Is there an identifiable group of experts that represent you, trust you and transmit you?", existe um grupo identificado de especialistas que aqui apresentam que acreditam e transmitem ,existe um grupo identificável de especialistas que a representam que acreditam e transmitem ,is there an identifiable group of experts that represent you trust you and transmit you 
885, Um homem montando um cavalo em um rodeio,Um homem montando um cavalo em um rodeio.,A man riding a house in a rodeo., um homem montando um cavalo em um rodeio,um homem montando um cavalo em um rodeio ,a man riding a house in a rodeo 
886, o dano sofrido faz você saber mas raramente rico,"Dano sofrido faz você saber, mas raramente rico.","The damage you suffer can make you wiser, but rarely richer.", o dano sofrido faz você saber mas raramente rico,dano sofrido faz você saber mas raramente rico ,the damage you suffer can make you wiser but rarely richer 
887, Nenhuma dúvida sobre o modo como o vento sopra.,Nenhuma dúvida sobre o modo como o vento sopra.,No doubts about how the wind blows;, nenhuma dúvida sobre o modo como o vento sopra ,nenhuma dúvida sobre o modo como o vento sopra ,no doubts about how the wind blows 
888, O equinócio de outono caiu diretamente em seu aniversário.,O equinócio de outono caiu diretamente em seu aniversário.,The autumn equinox fell right on his birthday., o equinócio de outono caiu diretamente em seu aniversário ,o equinócio de outono caiu diretamente em seu aniversário ,the autumn equinox fell right on his birthday 
889, Um jovem rapaz caindo na neve com outro menino no fundo.,um jovem rapaz caindo na neve com outro menino no fundo,A young boy falling in the snow with another boy in the background., um jovem rapaz caindo na neve com outro menino no fundo ,um jovem rapaz caindo na neve com outro menino no fundo,a young boy falling in the snow with another boy in the background 
890, porque esse pesquisador não pode checar seus fatos.,Por que esse pesquisador não pode checar seus fatos?,Why can’t that researcher check his facts?, porque esse pesquisador não pode checar seus fatos ,por que esse pesquisador não pode checar seus fatos ,why can t that researcher check his facts 
891, Todos nós esperamos que eu esteja certo.,Todos nós esperamos que eu esteja certo.,We all hope that I’m right., todos nós esperamos que eu esteja certo ,todos nós esperamos que eu esteja certo ,we all hope that i m right 
892, Uma rapariga com uma camisa roxa molha a grama.,Uma rapariga com uma camisa roxa? molha a grama.,A girl with a purple shirt waters the lawn., uma rapariga com uma camisa roxa molha a grama ,uma rapariga com uma camisa roxa molha a grama ,a girl with a purple shirt waters the lawn 
893, Uma rapariga vestiu-se na roupa asiática tradicional que come uma refeição.,Uma rapariga vestiu-se na roupa asiática tradicional que come uma refeição.,A girl wearing traditional Asian clothing eats a meal., uma rapariga vestiu se na roupa asiática tradicional que come uma refeição ,uma rapariga vestiu se na roupa asiática tradicional que come uma refeição ,a girl wearing traditional asian clothing eats a meal 
894, Um cão salta sobre uma cerca de arame em uma pastagem seca.,Um cão salta sobre uma cerca de arame em uma pastagem seca.,A dog jumps over a wire fence in a dry pasture., um cão salta sobre uma cerca de arame em uma pastagem seca ,um cão salta sobre uma cerca de arame em uma pastagem seca ,a dog jumps over a wire fence in a dry pasture 
